;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of Ain Jalut;3 September 1260;Mamluk Sultanate (Cairo)	Ayyubid dynasty	List of Ayyubid rulers	List of Ayyubid rulers;Qutuz	Wikimedia Error	Wikimedia Error;Near Ayn Jalut, Nazareth, Galilee[1];Mamluk victory Mongol invasion of the Mamluk Sultanate is halted.;Kitbuqa	Al-Ashraf Musa, Emir of Homs	Wikimedia Error;Unknown;15-20,000[2][3][4];1,500 killed[9];10-12,000[5][6][7][8];Ilkhanate	Mongol Empire	Kingdom of Georgia	Armenian Kingdom of Cilicia	Ayyubid dynasty	List of Ayyubid rulers	Banias
Battle of Montaperti;4 September 1260[3];Guelphs and Ghibellines	Siena	Manfred, King of Sicily	Terni	Guelphs and Ghibellines;Farinata degli Uberti	Wikimedia Error;Montaperti castle[4](Castelnuovo Berardenga, Tuscany);Decisive Ghibelline victory[3];Wikimedia Error;600 killed[9]	400 wounded[9];17,000 troops[5][6][8];2,500 killed[1][6][10]	1,500 captured[1][6][10];33,000 troops[1][5][6];Guelphs and Ghibellines	Florence	Guelphs and Ghibellines
Battle of Prinitza;1263;Byzantine Empire;Constantine Palaiologos (half-brother of Michael VIII);Prinitza, Elis, Greece;Decisive Achaean victory;John of Katavas;Heavy;15–20,000 (Chronicle of the Morea)	few thousand (modern estimates);Light;300 or 312 men;Wikimedia Error
Battle of Makryplagi;1263/1264;Byzantine Empire;Wikimedia Error	Wikimedia Error	Wikimedia Error	Wikimedia Error;Makryplagi, Messenia, Greece;Decisive Achaean victory;William of Villehardouin	Wikimedia Error;Heavy;;Light;;Wikimedia Error
Battle of Benevento;26 February 1266;Guelphs and Ghibellines	Wikimedia Error	Papal States	House of Capet;Charles I of Anjou	Philip of Montfort, Lord of Castres;River Calore, near Benevento, present-day Italy41°08′03″N 14°46′24″E﻿ / ﻿41.13417°N 14.77333°ECoordinates: 41°08′03″N 14°46′24″E﻿ / ﻿41.13417°N 14.77333°E;Decisive Guelph victory;Manfred, King of Sicily	Wikimedia Error;Unknown;Total: 12,000	4,500 light infantry	3,900 heavy infantry	600 crossbowmen	2,400 mounted sergeants	600 knights;more than 2,500 cavalry killed	Unknown infantry;Total: ~25,000[1]	1,200 Germans	1,000 knights	1,400 Apulians	10,000 Saracens[2];Guelphs and Ghibellines	Hohenstaufen
Battle of Trapani;23 June 1266;Republic of Venice;Jacopo Dandolo	Wikimedia Error;off Trapani, Sicily;Venetian victory;Wikimedia Error;Light;24 galleys,	2 saette;27 galleys captured,	1,200 drowned,	600 captured,	many killed;27 galleys;Republic of Genoa
Battle of Wesenberg (1268);February 18, 1268;Novgorod Republic	Pskov Republic;Dmitry of Pereslavl	Daumantas of Pskov;Near Rakvere, Estonia;Both sides claimed victory;Wikimedia Error;Unknown;10,000-20,000;Unknown;~20,000;Duchy of Estonia (1219–1346)	Bishopric of Dorpat	Livonian Order
Battle of Xiangyang;1267–14 March 1273[1];Song dynasty;Wikimedia Error	Wikimedia Error;Xiangyang, Hubei;Yuan victory;Aju	Wikimedia Error	Shi Tianze	Guo Kan;Heavy;8,000;Heavy;100,000	5,000 ships	100+ trebuchets	20+ counterweight trebuchets;Yuan dynasty
Battle of Tagliacozzo;23 August 1268;Guelphs and Ghibellines	Wikimedia Error;Charles I of Anjou;Palentine Plains (Scurcola Marsicana),[1] province of L'Aquila, present-day Italy;Decisive Guelph victory;Conradin;;;;;Guelphs and Ghibellines	Hohenstaufen
Battle of Colle Val d'Elsa;16 June 1269;Guelphs and Ghibellines	Siena;Provenzano Salvani;near Colle di Val d'Elsa, Tuscanypresent-day Italy;Guelph victory;Wikimedia Error;Heavy[1];9,400	1,400 cavalry	8,000 infantry;;1,100	800 cavalry	300 infantry;Guelphs and Ghibellines	Charles I of Anjou	Wikimedia Error
Battle of Karuse;16 February 1270;Grand Duchy of Lithuania	Semigallians;Traidenis;Moon Sound, frozen Baltic Sea58°33′N 23°27′E﻿ / ﻿58.55°N 23.45°ECoordinates: 58°33′N 23°27′E﻿ / ﻿58.55°N 23.45°E;Lithuanian victory;Otto von Lutterberg	Wikimedia Error	Hermann of Buxhoeveden, Bishop of Ösel-Wiek;1,600 killed[1];;52 knights and 600 low-rank soldiers;;Livonian Order	Bishopric of Dorpat	Bishopric of Ösel–Wiek	Duchy of Estonia (1219–1346)
Battle of Áth an gCeap;1270;Wikimedia Error;Wikimedia Error;"""Magh Nissi"", at Drumhierney, Leitrim Village, County Leitrim, Ireland";Ó Conchobair victory;Wikimedia Error;unknown;unknown;unknown;unknown;Lordship of Ireland	Earl of Ulster
Battle of Bun'ei;November 4 – 19, 1274;Kamakura shogunate;Shōni Sukeyoshi	少弐資能	Wikimedia Error	Wikimedia Error	Kikuchi Takefusa	Takezaki Suenaga;Hakata Bay, near present-day Fukuoka, Kyūshū;Japanese victory.;Wikimedia Error	忻都 - 维基百科，自由的百科全书	Wikimedia Error	劉復亨 - 维基百科，自由的百科全书	Wikimedia Error	김방경 - 위키백과, 우리 모두의 백과사전;Light;~10,000;Light (before the typhoon);?;Yuan dynasty	Goryeo
Battle of Demetrias;1272/1273 or 1274/1275;Byzantine Empire;Wikimedia Error	John Palaiologos (brother of Michael VIII);Demetrias (modern Volos, Greece);Byzantine victory;Wikimedia Error	Guglielmo II da Verona;heavy;50–80 ships;very heavy;30–62 ships;Wikimedia Error	Kingdom of Candia
Battle of Roccavione;12 December 1275;Guelphs and Ghibellines	Asti	March of Montferrat	Marquisate of Saluzzo;Thomas I of Saluzzo	William VII, Marquis of Montferrat;Roccavione, PiedmontCoordinates: 44°19′00″N 7°29′00″E﻿ / ﻿44.3167°N 7.48333°E;Decisive Ghibelline Victory[1];Philip of Lagonesse;;;;;Guelphs and Ghibellines	Charles I of Anjou
Battle of Desio;21 January 1277;Visconti of Milan	Pavia	Novara	Como;Ottone Visconti	Wikimedia Error;Desio, Lombardy;Decisive Visconti victory;Wikimedia Error;;;;;Della Torre
Battle of Yamen;19 March 1279;Song dynasty;Zhang Shijie;Yamen, Guangdong;Decisive Yuan victory Fall of the Song dynasty;Zhang Hongfan;At least 100,000 died either from fighting or drowning, the rest fled;200,000 people, mostly non-combatants – Song court officials and servants	1,000+ ships, mostly transport ships with warship escorts. Their actual fighting capacity of soldiers probably numbered in the tens of thousands.;Unknown;20,000 Chinese soldiers	50+ warships;Yuan dynasty
Siege of Berat (1280–1281);1280–1281;Byzantine Empire;Michael Tarchaneiotes;Berat, Albania;Byzantine victory;Wikimedia Error;;unknown;;2,000 knights	6,000 men-at-arms;Capetian House of Anjou	Kingdom of Sicily
Battle of Kōan;June 8 – August 22, 1281;Kamakura shogunate;Wikimedia Error	北条実政	Wikimedia Error	Wikimedia Error	Wikimedia Error	大友頼泰	Adachi Morimune	安達盛宗	Wikimedia Error	Wikimedia Error	Kikuchi Takefusa	Takezaki Suenaga	Shimazu Nagahisa;Hakata Bay, near present-day Fukuoka, Kyūshū;Decisive Japanese victory. Invasion repulsed Destruction of the Mongol fleet;Wikimedia Error	Wikimedia Error	Fan Wenhu	范文虎 - 维基百科，自由的百科全书	Wikimedia Error	Wikimedia Error	王雍 (高麗) - 维基百科，自由的百科全书	Li T'ing	Wikimedia Error	김방경 - 위키백과, 우리 모두의 백과사전;Unknown;~40,000-60,000;120,000+;~142,000 men in 4,400 ships;Mongol Empire	Yuan dynasty	Wikimedia Error
Second Battle of Homs;29 October 1281;Ilkhanate	Armenian Kingdom of Cilicia	Kingdom of Georgia	Knights Hospitaller;Möngke Temür (Ilkhanate)	Wikimedia Error	Wikimedia Error;Homs;Mamluk Victory;Al-Mansur Qalawun;Unknown (Heavy);40,000-50,000[2];Unknown (Heavy);30,000[3]	800 Royal Mamluks[4]	4,000+ Halqa[5]	4,000+ Bedouins[6];Mamluk Sultanate (Cairo)
Battle of Orewin Bridge;11 December 1282;Kingdom of England	Powys Wenwynwyn;Wikimedia Error	Wikimedia Error	Owen de la Pole;near Cilmeri52°09′07″N 3°27′42″W﻿ / ﻿52.1519°N 3.4617°WCoordinates: 52°09′07″N 3°27′42″W﻿ / ﻿52.1519°N 3.4617°W;Decisive English victory;Llywelyn ap Gruffudd;Unknown;5000 Infantry	1300 Heavy Cavalry;Around 2000;7000 Infantry	160 'Teulu' (Household);Principality of Wales
Battle of Pagan;December 1287;Wikimedia Error;Thihathu;Pagan;Mongol victory Fall of Pagan Empire;Temür Khan;Heavy;10,000 - 40,000 troops;Minimal;7,000 cavalry;Mongol Empire	Yuan dynasty
Battle of Worringen;5 June 1288;Electorate of Cologne	Guelders	County of Luxemburg	Counts of Ligny	Wikimedia Error	House of Plettenberg	Hülchrath	Wikimedia Error;Siegfried II of Westerburg	Reginald I of Guelders	Henry VI, Count of Luxembourg	Waleran I, Lord of Ligny	Adolf of Germany	Dietrich Luf II;Worringen, today part of Cologne;Decisive Brabantian victory;John I, Duke of Brabant	Wikimedia Error	Wikimedia Error	Wikimedia Error	Wikimedia Error	Bentheim-Tecklenburg	Wikimedia Error	Gottfried VI of Ziegenhain	Geoffrey I of Vianden;ca 1,100a;4,200	2,800 armored cavalry	1,400 footmen;ca 40;4,800	2,300 armored cavalry	2,500 footmen;Duchy of Brabant	Cologne	Duchy of Berg	County of Mark	Wikimedia Error	Duchy of Jülich	County of Tecklenburg	Principality of Waldeck and Pyrmont	Schwalmstadt	Vianden
Battle of Bạch Đằng (1288);April 9 – 10, 1288;Trần dynasty;Trần Hưng Đạo	Wikimedia Error;Bạch Đằng, Quảng Ninh province, present northern Vietnam;Decisive Đại Việt victory;Wikimedia Error	Wikimedia Error;About 4,000-6,000 dead;50,000+;Almost all ships destroyed or captured	80,000+ dead or captured;80,000 regular troops	30,000 tribal auxiliaries from Yunnan and Hainan	a 1,000-man vanguard	500 ships[1];Yuan dynasty
Battle of Campaldino;11 June 1289;Guelphs and Ghibellines	Wikimedia Error	Wikimedia Error	Arezzo	Romagna;Aimery IV of Narbonne	Wikimedia Error	Corso Donati	Cerchi family	Wikimedia Error;Campaldino, Tuscanypresent-day Italy;Decisive Guelph victory;Guglielmino Ubertini	Buonconte di Montefeltro	Wikimedia Error;300 killed,[citation needed] many wounded[7];c. 12,000[5]	10,000 infantry[6]	2,000 cavalry;1,700 killed, many wounded, 2,000 captured[7];10,000 infantry	800 cavalry;Guelphs and Ghibellines	Arezzo
Siege of Copenhagen (1289);7 July 1289;Denmark;Eric VI of Denmark;Copenhagen, Denmark;Danish victory;Eric II of Norway	Thord Krytter	Jacob Nielsen, Count of Halland	Stig Andersen Hvide;Unknown;Unknown;Unknown;More than 70;Norway
Siege of Acre (1291);4 April – 18 May 1291;Mamluk Sultanate (Cairo);Al-Ashraf Khalil;Acre, Kingdom of Jerusalem32°56′N 35°05′E﻿ / ﻿32.933°N 35.083°ECoordinates: 32°56′N 35°05′E﻿ / ﻿32.933°N 35.083°E;Decisive Mamluk victory End of the Levant Crusades;Henry II of Jerusalem	Amalric, Lord of Tyre;Unknown;200,000[2];10,000+[4]	(100,000 incl. civilians)[5];Acre: 15,000[2]	Cyprus: 700[3];Kingdom of Jerusalem	Knights Templar	Knights Hospitaller	Teutonic Order	Wikimedia Error	Order of Saint Lazarus
Battle of Maes Moydog;5 March 1295;Kingdom of England;William de Beauchamp, 9th Earl of Warwick;Field of Moydog;English victory;Madog ap Llywelyn;100;;700;;Wikimedia Error
Battle of Dunbar (1296);27 April 1296;Kingdom of Scotland;John Balliol;near Dunbar, Scotland;Decisive English victory English occupation of the Scottish Lowlands;John de Warenne, 6th Earl of Surrey;Unknown;Hundreds of cavalry;Unknown;Hundreds of cavalry;Kingdom of England
Battle of Curzota;September 8, 1298[1];Republic of Genoa;Wikimedia Error;Curzola, Adriatic Sea, Dalmatia;Genoese victory[1][5][6];Republic of Venice	Andrea Dandolo (admiral)	Republic of Venice;Heavy[8];66–75 galleys[2][4][9];7,000–9,000 killed	[7][10][11]	5,000–7,000 captured	[4][7][8][9]	65–83 galleys lost	[2][3][9][11];95 galleys[6][3][9][10];Republic of Venice
Battle of Stirling Bridge;11 September 1297;Kingdom of Scotland;William Wallace	Andrew Moray;Stirling Bridge, Stirling, Scotland56°07′54″N 3°55′57″W﻿ / ﻿56.1317046°N 3.9325905°WCoordinates: 56°07′54″N 3°55′57″W﻿ / ﻿56.1317046°N 3.9325905°W;Scottish victory;John de Warenne, 6th Earl of Surrey	Hugh de Cressingham;Unknown;5,300 to 6,300 men	~300 cavalry	~5,000 to 6,000 infantry[1];100 cavalry killed[2]	5,000 infantry killed[2];9,000 men	~2,000 cavalry[1]	~7,000 infantry[1];Kingdom of England
Battle of Furnes;20 August 1297;Kingdom of France;Robert II, Count of Artois;Bulskamp, Veurne (Furnes);French victory[1];Guy, Count of Flanders	Walram, Count of Jülich;;;;;County of Flanders
Battle of Göllheim;2 July 1298;Austria	Duchy of Austria	Kingdom of Bohemia;Albert I of Germany;Göllheim near Worms;Habsburg victory;Adolf of Germany;;;;;County of Nassau	Electoral Palatinate
Battle of Falkirk (1298);22 July 1298;Kingdom of Scotland;William Wallace	John Stewart of Bonkyll	John de Graham	Macduff of Fife;Falkirk, Scotland;English victory;Edward I of England;Around 2,000 killed[4];6,000 men	1,000 cavalry[1]	5,000 infantry;2,000 killed[5];15,000 men[2]	2,500 cavalry[3]	12,500 infantry[2];Kingdom of England
Battle of Kili;1299;Chagatai Khanate;Wikimedia Error;Kili near Delhi28°39′16″N 77°13′51″E﻿ / ﻿28.65456°N 77.23090°ECoordinates: 28°39′16″N 77°13′51″E﻿ / ﻿28.65456°N 77.23090°E;Delhi Sultanate victory;Alauddin Khalji	Zafar Khan (Indian general)	Ulugh Khan;Heavy;"100,000-200,000 cavalry  (Ziauddin Barani's claim; possibly an exaggeration)";Heavy;"300,000 cavalry  and 2,700 elephants (Firishta's claim; possibly an exaggeration)";Delhi Sultanate
Sieges of Stirling Castle;April 1304 – 24 July 1304[1];Kingdom of Scotland;William Oliphant (governor of Stirling Castle);Stirling Castle, Scotland;English victory;Edward I of England;;30;;12 siege engines, unknown number of troops;Kingdom of England
Battle of Falconaria;1 December 1299;Kingdom of Sicily;Frederick III of Sicily;La Falconara, between Marsala and Trapani;Sicilian victory;Philip I, Prince of Taranto;;;;;Kingdom of Naples
Battle of the Golden Spurs;11 July 1302[1];County of Flanders	County of Namur;William of Jülich	Guy of Namur	John I, Marquis of Namur	Pieter de Coninck	Jan Borluut	John III, Lord of Renesse;Kortrijk, County of Flanders50°49′44″N 3°16′34″E﻿ / ﻿50.829°N 3.276°ECoordinates: 50°49′44″N 3°16′34″E﻿ / ﻿50.829°N 3.276°E;Flemish victory;Robert II, Count of Artois;c. 100–300 killed[4];8,400–10,400	8,000–10,000 militia infantry[3][2]	400 men-at-arms[2];c. 1,000–1,500 men-at-arms and knights killed[5][6];8,000–8,500	1,000 pikemen[2]	1,000 crossbowmen[2]	3,500 assorted infantry[2]	2,500–3,000 men-at-arms	and knights[2][3];Kingdom of France
Battle of Marj al-Saffar (1303);April 20–22, 1303;Mamluk Sultanate (Cairo);Baibars II	Al-Nasir Muhammad	Ibn Taymiyyah;Ghabaghib, 25 miles south of Damascus in Syria;"Decisive Mamluk victory; end of Mongol invasions of Syria";Ghazan	Wikimedia Error	Wikimedia Error	Hethum II, King of Armenia;1,000[6];18,000–20,000[2][3];Unknown (Heavy);20,000–30,000[4][5];Ilkhanate	Armenian Kingdom of Cilicia
Battle of Happrew;1304;Kingdom of Scotland;William Wallace	Simon Fraser (died 1306);Happrew, near Peebles, Scotland;English victory;John Segrave, 2nd Baron Segrave	Robert the Bruce;High;Unknown but 50-500;Low;Unknown, but hundreds;Kingdom of England
Battle of Mons-en-Pévèle;18 August 1304;Kingdom of France;Philip IV of France	Wikimedia Error;Mons-en-Pévèle, County of Flanders(Modern France);Decisive French victory [1]Treaty of Athis-sur-Orge[1];William of Jülich	Philip of Chieti	John I, Marquis of Namur;1,800[4]–7,000[5];3,000 Knights[2]	10,000 Infantry[2];7,000–8,000[5];12,000–15,000[3];County of Flanders
Battle of Methven;19 June 1306;Kingdom of Scotland;Wikimedia Error;Methven, west of Perth;English victory;Wikimedia Error;4,000 dead[citation needed];4,500[citation needed];600 Dead or wounded[citation needed];3,000[citation needed];Kingdom of England
Battle of Loudoun Hill;10 May 1307;Kingdom of Scotland;Robert the Bruce;Loudoun Hill, Ayrshire, Scotland;Scottish victory[1];Wikimedia Error;Low;600 men.[1];"""hundreds""[1]";3,000 men.[1];Kingdom of England
Battle of Bannockburn;23–24 June 1314;Kingdom of Scotland;Robert the Bruce	Edward Bruce	Robert II Keith, Marischal of Scotland	Wikimedia Error	Wikimedia Error;Bannockburn, south of Stirling, Scotland;Decisive Scottish victory;Edward II of England	Humphrey de Bohun, 4th Earl of Hereford	Aymer de Valence, 2nd Earl of Pembroke	Gilbert de Clare, 8th Earl of Gloucester	Wikimedia Error;400[5]–4,000[6];5,000[1]–10,000[2];700 cavalry[7]	4,000[8]–11,000 infantry[9];13,700[3]–25,000[4];Kingdom of England
Battle of Montecatini;29 August 1315;Republic of Pisa;Uguccione della Faggiuola;Montecatini Terme, Val di Nievole;Pisan victory;Philip I, Prince of Taranto;;;;;Republic of Florence	Kingdom of Naples
Battle of Morgarten;15 November 1315;Old Swiss Confederacy	Canton of Uri	Canton of Schwyz	Unterwalden;Werner Stauffacher;Morgarten Pass;Decisive Swiss victory;Leopold I, Duke of Austria;12;~1,500;2,000;~9,000	of that ~2,000 knights;House of Habsburg
Battle of Faughart;14 October 1318;Kingdom of Scotland;Edward Bruce	Earl of Carrick;Faughart, County Louth;Lordship victory;John de Bermingham, 1st Earl of Louth	Edmund Butler, Earl of Carrick	Earl of Carrick (Ireland);30 knights and more than 80 men-at-arms killed[2];2,000 and thousands of dispersed reinforcements;Light;c. 20,000;Lordship of Ireland
Battle of Chios (1319);23 July 1319[1];Knights Hospitaller	Wikimedia Error;Albert of Schwarzburg;off Chios;Hospitaller victory;Wikimedia Error;Unknown;31 ships;22 ships sunk or captured;10 galleys	18 other ships;Aydınids
Battle of Bliska;August/September of 1322;Charles I of Hungary	Dalmatia;Wikimedia Error	Wikimedia Error	Wikimedia Error;Bliska (present day Blizna) in the hinterland of Trogir, southern Croatia;Decisive victory of the coalition of noblemen and Dalmatian coastal towns against Mladen II Šubić of Bribir, Ban of Croatia;Mladen II Šubić of Bribir	Ban of Croatia	George II Šubić of Bribir;Unknown;Unknown;Unknown;Unknown;Mladen II Šubić of Bribir
Battle of Mühldorf;September 28, 1322;Wikimedia Error	Kingdom of Bohemia	Burgraviate of Nuremberg;Louis IV, Holy Roman Emperor	John of Bohemia	Frederick IV, Burgrave of Nuremberg;Ampfing Heath (?), Mühldorf;Bavarian Victory;Frederick the Fair	Henry of Bohemia;;1800 knights	& mercenaries;more than 1000 nobles including Frederick captured;1400 knights,	Cuman cavalry	& mercenaries;Duchy of Austria	Duchy of Carinthia	Prince-Archbishopric of Salzburg	Wikimedia Error
Siege of Warangal (1323);;Kakatiya dynasty;Prataparudra;Warangal;Decisive victory of Tughluq forces. End of Kakatiya dynasty;Muhammad bin Tughluq;;;;;Delhi Sultanate
Battle of Pelekanon;June 10–11, 1329;Byzantine Empire;Andronikos III Palaiologos	John VI Kantakouzenos;Near Nicomedia, Bithynia(present day: Maltepe,[1][2] Turkey);Ottoman victory[3];Orhan;;~4,000[4] or less:	~2,000 soldiers from Constantinople, and something less than this number from Thrace.[5];;~ 8,000[5];Ottoman Empire
Battle of Ardnocher;10 August 1329;Geoghegan;Wikimedia Error;near Horseleap, County Westmeath;MacGeoghegan victory;Wikimedia Error;?;?;~140 (Hiberniae)	~3,500 (Four Masters);?;Lordship of Ireland
Battle of Płowce;27 September 1331;Kingdom of Poland (1025–1385);Władysław I Łokietek	Casimir III the Great;Płowce, Poland;Polish victory;Dietrich von Altenburg	Otto von Lutterberg;1,700;5,000;2,600;7,000;Teutonic Order
Battle of Halidon Hill;19 July 1333;Kingdom of Scotland;Archibald Douglas (died 1333)	Robert II of Scotland	John Randolph, 3rd Earl of Moray;Halidon Hill, near Berwick-upon-Tweed;Decisive English-Balliol victory;Edward III of England	Thomas of Brotherton, 1st Earl of Norfolk	Edward Balliol;exact figure unknown, but very high;13,000;14 [1];9,000;Kingdom of England
Battle of Sluys;24 June 1340;Kingdom of England;Edward III of England	William de Clinton, 1st Earl of Huntingdon;"Off Sluys in the French fief of Flanders (now spelled ""Sluis"" and part of the Dutch region of Zeelandic Flanders)51°18′31″N 3°23′17″E﻿ / ﻿51.30861°N 3.38806°ECoordinates: 51°18′31″N 3°23′17″E﻿ / ﻿51.30861°N 3.38806°E";English victory;Wikimedia Error	Wikimedia Error;400–600	2 ships lost;120–150 ships;16,000–20,000	190 ships lost, of which 166 captured;213 ships;Kingdom of France
Battle of Río Salado;30 October 1340;Crown of Castile	Kingdom of Portugal;Alfonso XI of Castile	Afonso IV of Portugal	Don Juan Manuel	Garci Lasso de la Vega II;Salado River, near Tarifa;Decisive Castilian-Portuguese victory[1];Wikimedia Error	Wikimedia Error;;22,000	8,000 knights[2][1]	12,000 infantry[2][1]	1,000 knights[2][1]	1,000 in Tarifa garrison[1];;67,000[2][3]	60,000[3]	7,000 knights[4];Wikimedia Error	Emirate of Granada
Battle of Auberoche;21 October 1345;Kingdom of England;Wikimedia Error;Auberoche, northern Aquitaine45°12′32″N 0°53′45″E﻿ / ﻿45.20889°N 0.89583°ECoordinates: 45°12′32″N 0°53′45″E﻿ / ﻿45.20889°N 0.89583°E;English victory;Wikimedia Error;Light;1,200;Heavy;7,000;Kingdom of France
Battle of Gamenario;22 April 1345;Kingdom of Naples;Wikimedia Error	Joanna I of Naples;Gamenario, Piedmont;Decisive Ghibelline victory[1] Partition of Piedmont;Wikimedia Error	Wikimedia Error;;;;;March of Montferrat	Asti	Pavia
Battle of Peritheorion;7 July 1345;Momchil;Momchil;Peritheorion, near Amaxades, Greece;Kantakouzenist victory;John VI Kantakouzenos	Umur of Aydın;Heavy;5,000 infantry, 300 cavalry[1];unknown;over 20,000[1];John VI Kantakouzenos	Aydınids
Battle of Caen (1346);26 July 1346;Kingdom of England;Edward III of England;Caen, Normandy, France49°18′22″N 00°37′06″E﻿ / ﻿49.30611°N 0.61833°ECoordinates: 49°18′22″N 00°37′06″E﻿ / ﻿49.30611°N 0.61833°E;English victory;Raoul II of Brienne, Count of Eu;Unknown, but light;12,000 (not all engaged);c. 5,000 soldiers and civilians;1,500 soldiers;Kingdom of France
Battle of Blanchetaque;24 August 1346;Kingdom of England;Edward III of England;Blanchetaque, River Somme, near Abbeville50°09′43″N 1°44′57″E﻿ / ﻿50.1619°N 1.7492°ECoordinates: 50°09′43″N 1°44′57″E﻿ / ﻿50.1619°N 1.7492°E;English victory;Godemar I du Fay;Light;5,000 (not all engaged);c. 2,000;3,500;Kingdom of France
Battle of Crécy;26August 1346;Kingdom of England;Edward III of England	Edward the Black Prince	William de Bohun, 1st Earl of Northampton;Crécy-en-Ponthieu, Picardy, France50°15′25″N 1°54′14″E﻿ / ﻿50.257°N 1.904°ECoordinates: 50°15′25″N 1°54′14″E﻿ / ﻿50.257°N 1.904°E;English victory;Philip VI of France	Wikimedia Error	John of Bohemia	Rudolph, Duke of Lorraine	Wikimedia Error	Wikimedia Error;40–300 killed;7,000–15,000;1,542–4,000 nobles killedCommon infantry losses unknown but heavy;20,000–30,000	• 8,000 men-at-arms	• 2,000–6,000 crossbowmen	• Unknown infantry;Kingdom of France	Kingdom of Bohemia
Battle of Neville's Cross;17 October 1346;Kingdom of Scotland;David II of Scotland	John Randolph, 3rd Earl of Moray	Patrick V, Earl of March;Neville's Cross, west of Durham, England54°46′34″N 1°35′49″W﻿ / ﻿54.776°N 1.597°WCoordinates: 54°46′34″N 1°35′49″W﻿ / ﻿54.776°N 1.597°W;English victory Capture of the Scottish King;Ralph Neville, 2nd Baron Neville	Henry Percy, 2nd Baron Percy	William Zouche;1,000–3,000 killed	Many captured including King David II;12,000[1];Few;6,000–7,000;Kingdom of England
Siege of Calais (1346–1347);4 September 1346 – 3 August 1347;Kingdom of England;Edward III of England;Calais, France50°57′29″N 1°51′11″E﻿ / ﻿50.9580°N 1.8530°ECoordinates: 50°57′29″N 1°51′11″E﻿ / ﻿50.9580°N 1.8530°E;English victory;Jean de Vienne (governor);;• Between 5,000 and 32,000 soldiers at different times	• Up to 20,000 Flemish allies	• Up to 24,000 sailors in the supporting fleet;;• Garrison size – unknown	• Field army – up to 20,000;Kingdom of France
Battle of La Roche-Derrien;1347, during the night;Montfort of Brittany;Wikimedia Error;La Roche-Derrien, France;Anglo-Breton victory;Charles, Duke of Brittany;;1,000;;4,000 to 5,000;House of Blois
Battle of Lunalonge;Late May or early June 1349;Kingdom of France;Jean de Lille	Wikimedia Error;Limalonges, Deux-Sèvres46°07′51″N 0°10′11″E﻿ / ﻿46.1308°N 0.1697°E;Anglo-Gascon victory;Wikimedia Error;300 killed plus others captured;Approx 1,500;Light, but all horses lost and baggage looted;Approx 500;Duchy of Gascony
Battle of Saintes;1 April 1351;Kingdom of England;Wikimedia Error	Arnaud Amanieu d'Albret;Saintes, France45°44′47″N 0°38′00″W﻿ / ﻿45.7464°N 0.6333°WCoordinates: 45°44′47″N 0°38′00″W﻿ / ﻿45.7464°N 0.6333°W;English victory;Wikimedia Error	Arnoul d'Audrehem;;;;;Kingdom of France
Battle of Bubat;1357;Majapahit;Gajah Mada;Bubat square, Trowulan, Majapahit, Java;Decisive Majapahit victory, the death of the Sunda royal family, the incident severely harmed the relations between two kingdoms;Sunda Kingdom;Unknown;Large number of Majapahit troops stationed in Majapahit capital, exact number unknown;Almost all of Sunda party perished, including the Sunda King and Princess Pitaloka;The Sundanese royal family, the state officials, servants and guards, exact number unknown, probably less than 100;Wikimedia Error
Battle of Brignais;6 April 1362;France in the Middle Ages;James I, Count of La Marche;Brignais45°40′N 4°45′E﻿ / ﻿45.667°N 4.750°ECoordinates: 45°40′N 4°45′E﻿ / ﻿45.667°N 4.750°E;Free company victory;Seguin de Badefol	Wikimedia Error;;12,000;;15,000;Tard-Venus
Siege of Kaunas;March 13 – April 17, 1362;Grand Duchy of Lithuania;Wikimedia Error;Kaunas Castle54°53′56″N 23°53′6″E﻿ / ﻿54.89889°N 23.88500°ECoordinates: 54°53′56″N 23°53′6″E﻿ / ﻿54.89889°N 23.88500°E;Teutonic victory;Wikimedia Error;"350 dead; Vaidotas and 36 men taken captive[1]";;;;Teutonic Order	Livonian Order
Battle of Blue Waters;Autumn 1362 or 1363;Grand Duchy of Lithuania;Algirdas	Fyodor Koriatovych;Near Torhovytsia, Novoarkhanhelsk Raion, Ukraine[1]48°39′30″N 30°47′00″E﻿ / ﻿48.65833°N 30.78333°ECoordinates: 48°39′30″N 30°47′00″E﻿ / ﻿48.65833°N 30.78333°E;Decisive Lithuanian victory[2];Demetrius, Prince of the Tatars;;20,000–25,000;;10,000–20,000;Golden Horde
Battle of Cascina;28 July 1364;Republic of Florence;Galeotto I Malatesta;Cascina, Province of Pisa, Tuscany, Italy;Florentine victory;John Hawkwood	Wikimedia Error;;15,000 (4,000 knights, 11,000 infantrymen);2,000;Approximately 5,000 men (800 English, 4,000 Pisan levies) [1];Republic of Pisa
